,Hour,StationEnd,Count,Day,Year,Count1,Count1week,Count2week,Count3week,Count4week
38748,2,34,1,79,2011,0,0,1,0,0
38771,6,13,1,79,2011,0,0,1,1,0
38780,7,13,1,79,2011,1,0,0,1,2
38788,8,13,1,79,2011,1,0,1,0,1
38815,9,34,2,79,2011,0,0,4,0,0
38832,9,13,2,79,2011,1,1,3,3,1
38838,9,18,1,79,2011,0,3,3,1,0
38852,10,34,4,79,2011,2,1,4,0,0
38861,10,18,2,79,2011,1,1,0,0,1
38869,10,13,1,79,2011,2,1,0,1,0
38894,11,34,3,79,2011,4,0,3,2,2
38902,11,4,3,79,2011,0,0,2,2,1
38909,12,34,9,79,2011,3,2,0,0,1
38934,12,4,4,79,2011,3,1,2,2,1
38937,12,13,2,79,2011,0,1,2,1,1
38939,12,18,1,79,2011,0,0,0,0,2
38946,13,4,3,79,2011,4,2,0,0,0
38960,13,34,1,79,2011,9,1,5,0,1
38968,13,18,1,79,2011,1,0,2,0,1
38978,13,13,1,79,2011,2,0,0,1,1
38998,14,13,2,79,2011,1,0,0,1,2
39008,14,4,4,79,2011,3,1,1,1,0
39009,14,34,4,79,2011,1,0,0,1,1
39012,14,18,1,79,2011,1,0,0,1,1
39022,15,18,4,79,2011,1,0,1,0,0
39044,15,13,2,79,2011,2,0,4,1,0
39048,15,4,4,79,2011,4,0,3,2,2
39054,15,34,4,79,2011,4,0,1,1,1
39064,16,34,1,79,2011,4,0,1,2,0
39069,16,13,4,79,2011,2,0,2,0,0
39070,16,18,1,79,2011,4,0,3,0,1
39075,16,4,4,79,2011,4,1,2,0,1
39111,17,34,1,79,2011,1,0,0,0,0
39113,17,4,2,79,2011,4,2,0,0,0
39117,17,13,1,79,2011,4,0,3,1,0
39127,17,18,1,79,2011,1,0,1,1,1
39148,18,13,2,79,2011,1,0,3,1,0
39155,18,4,3,79,2011,2,0,1,0,0
39158,18,18,1,79,2011,1,1,0,0,1
39159,18,34,2,79,2011,1,0,0,1,0
39177,19,13,3,79,2011,2,0,1,2,2
39201,20,4,2,79,2011,0,0,1,0,1
39211,20,34,1,79,2011,0,0,1,2,2
39218,20,13,1,79,2011,3,0,1,5,0
39227,21,34,3,79,2011,1,0,2,3,1
39234,21,4,2,79,2011,2,0,4,3,0
39236,21,13,2,79,2011,1,0,1,3,2
39256,22,13,1,79,2011,2,0,2,2,1
39257,22,34,1,79,2011,3,0,3,2,1
39327,7,18,1,80,2011,0,2,2,0,2
